titulo,ingredientes,ingredientes_busca,modo_preparo,tempo_preparo,dificuldade,categoria
Bolo de Chocolate Simples,2 xícaras de farinha de trigo | 1 xícara de açúcar | 1/2 xícara de chocolate em pó | 1 xícara de leite | 3 ovos | 1/2 xícara de óleo | 1 colher de fermento,"farinha, açúcar, chocolate, leite, ovos, óleo, fermento",1. Preaqueça o forno a 180°C | 2. Misture todos os ingredientes secos | 3. Adicione os líquidos e misture bem | 4. Despeje na forma untada | 5. Asse por 40 minutos,60 minutos,Fácil,Sobremesa
Arroz de Frango,2 xícaras de arroz | 500g de frango em cubos | 1 cebola picada | 2 dentes de alho | 1 tomate picado | 1 pimentão | Temperos a gosto | 4 xícaras de caldo de galinha,"arroz, frango, cebola, alho, tomate, pimentão",1. Tempere o frango e doure-o | 2. Refogue cebola e alho | 3. Adicione tomate e pimentão | 4. Junte o arroz e misture | 5. Adicione o caldo aos poucos | 6. Cozinhe até o arroz ficar macio,45 minutos,Médio,Prato Principal
Salada de Frutas Tropical,1 manga picada | 1 abacaxi picado | 2 bananas fatiadas | 1 maçã picada | Suco de 1 limão | 2 colheres de açúcar | Hortelã para decorar,"manga, abacaxi, banana, maçã, limão",1. Pique todas as frutas em cubos | 2. Misture em uma tigela grande | 3. Regue com suco de limão | 4. Polvilhe açúcar | 5. Misture delicadamente | 6. Decore com hortelã,15 minutos,Fácil,Sobremesa
Sanduíche Natural de Peito de Peru,2 fatias de pão integral | 100g de peito de peru fatiado | 2 folhas de alface | 2 rodelas de tomate | 1 fatia de queijo branco | Maionese light | Mostarda,"pão, peru, alface, tomate, queijo",1. Toste levemente o pão | 2. Passe maionese em uma fatia | 3. Adicione alface e tomate | 4. Coloque o peito de peru | 5. Adicione queijo | 6. Finalize com mostarda e feche o sanduíche,10 minutos,Fácil,Lanche
Sopa de Legumes Nutritiva,2 cenouras picadas | 1 abobrinha picada | 1 chuchu picado | 1 cebola | 2 dentes de alho | 1 cubo de caldo de legumes | 1 litro de água | Sal e pimenta a gosto,"cenoura, abobrinha, chuchu, cebola, alho",1. Refogue cebola e alho no azeite | 2. Adicione os legumes picados | 3. Cubra com água | 4. Adicione o cubo de caldo | 5. Cozinhe até os legumes ficarem macios | 6. Tempere com sal e pimenta,30 minutos,Fácil,Sopa
Omelete de Queijo e Presunto,3 ovos | 50g de presunto picado | 50g de queijo ralado | 1 colher de manteiga | Sal e pimenta a gosto | Cebolinha picada,"ovos, presunto, queijo, manteiga","1. Bata os ovos com sal e pimenta | 2. Aqueça a manteiga na frigideira | 3. Despeje os ovos batidos | 4. Quando começar a firmar, adicione presunto e queijo | 5. Dobre ao meio | 6. Sirva com cebolinha",15 minutos,Fácil,Prato Principal
Vitamina de Banana com Aveia,2 bananas maduras | 1 copo de leite | 2 colheres de aveia em flocos | 1 colher de mel | Canela em pó | Gelo a gosto,"banana, leite, aveia, mel",1. Descasque as bananas | 2. Coloque todos os ingredientes no liquidificador | 3. Bata até ficar homogêneo | 4. Adicione gelo se desejar mais gelado | 5. Sirva imediatamente,5 minutos,Muito Fácil,Bebida
Macarrão ao Molho de Tomate,500g de macarrão | 4 tomates maduros | 1 cebola média | 3 dentes de alho | Azeite de oliva | Manjericão fresco | Queijo parmesão | Sal e pimenta,"macarrão, tomate, cebola, alho, azeite, manjericão, queijo","1. Cozinhe o macarrão em água salgada | 2. Refogue cebola e alho no azeite | 3. Adicione tomates picados | 4. Tempere com sal, pimenta e manjericão | 5. Misture com o macarrão escorrido | 6. Finalize com queijo",25 minutos,Fácil,Prato Principal
Pudim de Leite Condensado,1 lata de leite condensado | 2 latas de leite (use a lata do leite condensado) | 3 ovos | 1 xícara de açúcar para a calda,"leite condensado, leite, ovos, açúcar","1. Faça a calda derretendo o açúcar | 2. Despeje a calda na forma | 3. Bata no liquidificador leite condensado, leite e ovos | 4. Despeje sobre a calda | 5. Asse em banho-maria por 1 hora | 6. Deixe esfriar antes de desenformar",90 minutos,Médio,Sobremesa
Tapioca Doce de Coco,4 colheres de goma para tapioca | 3 colheres de coco ralado | 2 colheres de açúcar | 1 pitada de sal | Água para umedecer,"tapioca, coco, açúcar","1. Misture a goma com um pouco de água | 2. Peneire para formar grumos finos | 3. Aqueça a frigideira antiaderente | 4. Espalhe a massa | 5. Quando firmar, adicione coco e açúcar | 6. Dobre e sirva quente",10 minutos,Fácil,Lanche
Salada Verde com Molho de Mostarda,1 pé de alface | 1 pepino | 2 tomates | 1 cebola roxa | 2 colheres de azeite | 1 colher de mostarda | 1 colher de vinagre | Sal a gosto,"alface, pepino, tomate, cebola, azeite, mostarda","1. Lave e pique as verduras | 2. Misture azeite, mostarda e vinagre | 3. Tempere o molho com sal | 4. Arrume a salada na tigela | 5. Regue com o molho | 6. Misture na hora de servir",15 minutos,Fácil,Salada
Canja de Galinha Cremosa,1/2 frango | 1 xícara de arroz | 2 cenouras | 1 cebola | Aipo | Salsinha | 2 litros de água | Sal a gosto,"frango, arroz, cenoura, cebola, aipo","1. Cozinhe o frango na água com cebola | 2. Retire o frango e desfie | 3. Coe o caldo | 4. Volte o caldo ao fogo com arroz | 5. Adicione cenouras picadas | 6. Quando o arroz estiver macio, adicione o frango desfiado",60 minutos,Médio,Sopa
